Id,Block,Area,WellName,X,Y,Horizon,SandName,TopSand,BaseSand,DataSource,DataSourceMDT,Netpay,Porosity,Sw,Egi,P,T,C1,C2,C3,iC4,nC4,iC5,nC5,C6,C7,C8+,CO2,N2,Total,GHV
1,B,KL,KL-1X,255880.7639,945034.5448,H,H_59,-6238.7,-6253.7,MLC,MLC,8.3,29.8,61.8,153.4,2820.2,114.4,86.5,5.1,1.8,0.3,0.3,0.1,0,0,0,0,3.4,2.5,100,1032
2,B,KL,KL-1X,255880.7639,945034.5448,H,H_76,-6416.1,-6448.5,MLC,MLC,12.7,22.3,41.8,158.2,2933,116.1,86.5,4.6,1.9,0.1,0.6,0.2,0,0,0,0,3.6,2.5,100,1035
3,B,KL,KL-1X,255880.7639,945034.5448,H,H_83,-6491.9,-6545.6,TST,TST-3,36.2,22.4,30.8,157.1,2961.9,117.2,91.1,3.2,0.5,0.1,0.1,0,0,0,0,0,4.2,0.6,100,1003
4,B,KL,KL-1X,255880.7639,945034.5448,I,I_94,-7800.7,-7875.9,TST,TST-2,53.4,19.4,50.5,172.8,3464,131.7,87.2,2.9,0.3,0.1,0.1,0,0,0,0.1,0,8.7,0.5,100,955
5,B,KL,KL-2X,255779.3996,949948.8475,H,H_84,-5344.9,-5416.9,MDT,MDT,40.2,23.5,50,130.5,2390.8,110.8,94.8,1.2,0.1,0,0,0,0,0,0,0,0,3.8,100,982
6,B,KL,KL-2X,255779.3996,949948.8475,H,H_98,-5470.2,-5490.8,MLC,MLC,5.4,23.2,65.4,131.8,2430.5,112.2,92.3,1.8,0.3,0.1,0.1,0.2,0,0,0,0,1.7,3.4,100,988
7,B,KL,KL-2X,255779.3996,949948.8475,I,I_42,-5997.2,-6018.7,MDT,MDT,19.1,22.3,31.3,143.4,2670.5,117.8,87.5,1.1,0.1,0,0,0,0,0,0,0,8.4,2.9,100,906
8,B,KL,KL-2X,255779.3996,949948.8475,I,I_97,-6668.6,-6704.3,MDT,MDT,28.8,19.9,30.2,154.7,2963.5,123.5,84.4,0.6,0.3,0,0,0,0,0,0,0,11.4,3.4,100,870
9,B,KL,KL-2X,255779.3996,949948.8475,J,J_9,-6763.9,-6803.5,MDT,MDT,29.3,21.2,31.7,155.1,3003.3,126,78.3,1.2,0.1,0,0,0,0,0,0,0,17.6,2.8,100,814
10,B,KL,KL-2X,255779.3996,949948.8475,J,J_18,-6824.5,-6835.7,MDT,MDT,3.9,23,36.5,156.7,3005.7,126.6,76.5,1.4,0.1,0,0,0,0,0,0,0,19.6,2.4,100,801
11,B,KL,KL-3X,259207.7091,940177.4202,F,F_30,-4547.9,-4556.7,MDT,MDT,4,25,58.4,116.1,2011.3,99.5,93,2.3,0.8,0.3,0.1,0.1,0,0,0,0,1.4,2,100,1018
12,B,KL,KL-3X,259207.7091,940177.4202,F,F_60,-4938.2,-4941.5,MLC,MLC,2.4,27.2,48.1,122.6,2196,107.5,91.2,3.4,1.2,0.3,0.2,0.1,0.1,0,0,0,1.9,1.7,100,1034
13,B,KL,KL-3X,259207.7091,940177.4202,F,F_94,-5399.3,-5401.2,MLC,MLC,1.2,17.6,58.3,135.4,2405.7,113,85.9,3.1,2,1.2,0.5,0.8,2.5,0,0,0,2.5,1.5,100,1159
14,B,KL,KL-3X,259207.7091,940177.4202,H,H_17,-5662.4,-5672,MDT,MDT,9.2,27.5,20.6,137.8,2547.5,115.4,90.6,3.4,0.8,0.3,0.2,0.1,0,0.1,0,0,2.9,1.7,100,1018
15,B,KL,KL-3X,259207.7091,940177.4202,H,H_19,-5691.2,-5703.3,MLC,MLC,9.2,19.9,55.9,136.9,2542.2,116.4,90.9,3.1,1,0.4,0.2,0,0,0,0,0,2.9,1.4,100,1018
16,B,KL,KL-3X,259207.7091,940177.4202,H,H_24,-5748.3,-5753.3,MLC,MLC,4.1,20.1,45.6,137.8,2574.1,117,91.9,2.5,0.7,0.2,0.1,0.1,0.1,0,0,0,3,1.5,100,1004
17,B,KL,KL-3X,259207.7091,940177.4202,H,H_86,-6447.2,-6476.2,MLC,MLC,11.5,24,68.1,150.5,2901.1,125.1,89.5,3.5,0.8,0.1,0.1,0,0.1,0,0,0,4.2,1.7,100,997
18,B,KL,KL-3X,259207.7091,940177.4202,I,I_9,-6742.2,-6752.5,MLC,MLC,1.6,24.8,62.2,154,3019.6,128.9,90.2,1.9,0.2,0,0.4,0.4,0.5,0,0,0,4.7,1.8,100,998
19,B,KL,KL-3X,259207.7091,940177.4202,I,I_33,-7098.7,-7126.2,MLC,MLC,3.3,13.4,61.2,159.4,3235.4,137.7,89.5,1.5,0.5,0,0.2,0.5,0.6,0,0,0,5.2,1.9,100,995
20,B,KL,KL-3X,259207.7091,940177.4202,I,I_42,-7217.5,-7224.1,MLC,MLC,1.3,12.2,61,162.6,3234,134.5,86.4,2.8,0.7,0.4,0.4,1.3,0.5,0,0,0,5.4,1.9,100,1042
21,B,KL,KL-3X,259207.7091,940177.4202,I,I_60,-7479.8,-7490.9,MLC,MLC,5.6,15.8,67.5,164.3,3355.3,137.6,90.2,0.3,0.1,0.3,0.5,0.3,0.4,0,0,0,5.9,2,100,972
22,B,KL,KL-3X,259207.7091,940177.4202,I,I_66,-7573.8,-7591.5,MDT,MDT,4.3,16.9,55.6,168.4,3436,137.5,87.9,2.9,0.6,0.1,0.1,0,0,0,0,0,6.2,2.2,100,961
23,B,KL,KL-3X,259207.7091,940177.4202,I,I_77,-7730.5,-7761.6,MLC,MLC,11.4,17.6,64,170.5,3495.8,140.6,82.2,2.6,0.4,0.1,0.1,0,0,0,0,0,12.6,2,100,893
24,B,KL,KL-3X,259207.7091,940177.4202,I,I_80,-7776.7,-7796.2,MLC,MLC,9.7,14.6,48.8,170.8,3494,141.1,79.9,2.7,0.4,0.1,0.1,0,0,0,0,0,14.8,1.9,100,872
25,B,KL,KL-3X,259207.7091,940177.4202,I,I_98,-8035.5,-8042.7,MLC,MLC,6.3,16.1,42.7,177,3550.5,141.1,69.5,1.4,0.2,0,0,0,0,0,0,0,27,1.8,100,735
26,B,KL,KL-3X,259207.7091,940177.4202,J,J_4,-8110.7,-8154.4,MDT,MDT,21.4,18.3,43.9,179.1,3580.1,143.1,64.9,1.4,0.4,0,0,0,0,0,0,0,31.5,1.7,100,694
27,B,KL,KL-3X,259207.7091,940177.4202,J,J_23,-8272.5,-8302.9,MDT,MDT,15.6,16.2,36.5,180.6,3641.8,144.5,65.6,1.3,0.2,0,0,0,0,0,0,0,30.9,1.9,100,696
28,B,KL,KL-3X,259207.7091,940177.4202,J,J_28,-8317.1,-8336.9,MLC,MLC,4.1,14.5,31.1,176.8,3622.8,147.5,68.3,1.2,0.1,0,0,0,0,0,0,0,28.4,1.9,100,718
29,B,KL,KL-3X,259207.7091,940177.4202,J,J_31,-8343.4,-8420.9,MDT,MDT,59.1,19.7,26.7,179.3,3650.9,147.4,70.7,1.5,0.2,0,0,0,0,0,0,0,25.4,2,100,751
30,B,KL,KL-4X,255329.3627,948472.3796,M,MMU_90,-3908.6,-3912.1,MLC,MLC,1.5,25.1,19,102.6,1735.3,90.5,91.8,3.2,0.8,0.3,0.1,0,0,0,0,0,1.4,2.3,100,1019
31,B,KL,KL-4X,255329.3627,948472.3796,F,F_7,-4105.9,-4108.2,MLC,MLC,2.3,28,37.7,105.9,1813.2,95.7,91.3,2.7,0,0,0,0,2.3,0,0,0,1.4,2.3,100,1061
32,B,KL,KL-4X,255329.3627,948472.3796,F,F_11,-4168.8,-4233.2,MLC,MLC,8.8,22.6,67.5,107.1,1839.7,94.3,92.9,2.1,0.8,0.2,0.1,0,0.1,0,0,0,1.4,2.3,100,1012
33,B,KL,KL-4X,255329.3627,948472.3796,F,F_16,-4245.2,-4251.5,MLC,MLC,0.8,13.4,11,109.8,1878.2,95.5,90,4.3,1.3,0.4,0.3,0,0.1,0,0,0,1.4,2.3,100,1041
34,B,KL,KL-4X,255329.3627,948472.3796,F,F_24,-4373.5,-4378.2,MLC,MLC,3,29.9,36.7,112.9,1963.6,97.4,93,2.3,0.6,0.2,0.1,0,0,0,0,0,1.4,2.3,100,1006
