Lat,Long,WellName,Tdepth,Test,Source,C1,C2,C3,iC4,nC4,iC5,nC5,C6,C7,C8+,CO2,N2,H2S,SG,GHV,Total
258459.2242,915514.6834,AQ-3X,"-3,023.6",TST-1,Isotech,45.78,0.36,0.03,0.01,0.01,0.01,0.00,0.08,,,52.16,1.49,,,,99.93
258459.2242,915514.6834,AQ-3X,"-3,023.6",TST-1,VPI,46.59,0.38,0.02,0.01,0.01,0.01,0.01,0.03,0.00,0.00,51.66,1.28,,,484.0,100.00
258459.2242,915514.6834,AQ-3X,"-2,996.6",TST-2,VPI,47.11,0.30,0.02,0.01,0.00,0.01,0.01,0.03,0.01,0.00,51.61,0.89,,,487.0,100.00
258459.2242,915514.6834,AQ-3X,"-2,996.6",TST-2,Isotech,45.98,0.28,0.02,0.01,0.00,0.00,0.00,0.05,,,52.50,1.15,,,,100.00
258459.2242,915514.6834,AQ-3X,"-2,950.0",TST-3,VPI,55.07,0.59,0.04,0.02,0.01,0.02,0.01,0.07,0.03,0.01,42.78,1.35,,,579.0,99.99
258459.2242,915514.6834,AQ-3X,"-2,950.0",TST-3,Isotech,55.18,0.56,0.05,0.02,0.01,0.01,0.01,0.08,,,42.80,1.27,,,,99.99
258459.2242,915514.6834,AQ-3X,"-2,844.5",TST-4,VPI,79.59,0.23,0.03,0.07,0.03,0.00,0.01,0.02,0.01,0.00,18.29,1.72,,,,100.00
258459.2242,915514.6834,AQ-3X,"-2,844.5",TST-4,Isotech,79.11,0.23,0.00,0.00,0.00,0.00,0.00,0.03,,,18.31,2.15,,,820.0,99.83
258459.2242,915514.6834,AQ-3X,"-2,779.0",TST-5,VPI,81.82,1.97,0.13,0.02,0.03,0.02,0.03,0.09,0.04,0.01,14.38,1.46,,,879.0,100.00
258459.2242,915514.6834,AQ-3X,"-2,779.0",TST-5,VPI,82.44,2.01,0.13,0.02,0.03,0.02,0.03,0.06,0.02,0.00,13.86,1.39,,,883.0,100.00
258459.2242,915514.6834,AQ-3X,"-2,779.0",TST-5,Isotech,81.91,1.94,0.15,0.02,0.04,0.01,0.02,0.08,,,14.41,1.41,,,,99.99
258459.2242,915514.6834,AQ-3X,"-2,132.2",TST-7,VPI,72.86,4.61,5.45,1.40,1.46,0.59,0.39,0.49,0.20,0.03,8.29,4.23,,,1130.0,100.00
258459.2242,915514.6834,AQ-3X,"-2,132.2",TST-7,VPI,71.77,4.55,5.56,1.46,1.57,0.66,0.46,0.73,0.31,0.05,8.47,4.41,,,1150.0,100.00
258459.2242,915514.6834,AQ-3X,"-2,132.2",TST-7,Isotech,71.97,4.53,5.83,1.41,1.53,0.58,0.45,0.93,,,8.45,4.31,,,,99.99
253490.8935,917318.7564,AQ-4X,"-1,652.9",MDT-1,VPI,76.13,8.71,5.32,1.04,0.99,0.30,0.21,0.34,0.27,0.12,3.94,2.62,,,1189.0,99.99
253490.8935,917318.7564,AQ-4X,"-1,921.5",MDT-3,VPI,52.91,5.98,3.82,0.67,0.79,0.23,0.17,0.30,0.29,0.12,30.95,3.77,,,843.0,100.00
253490.8935,917318.7564,AQ-4X,"-2,074.7",MDT-4,VPI,71.81,4.99,3.46,0.67,0.58,0.16,0.10,0.09,0.06,0.01,11.13,6.94,,,965.0,100.00
253490.8935,917318.7564,AQ-4X,"-2,269.5",TST-1,SKL Lab,75.87,2.94,1.38,0.29,0.24,0.08,0.07,0.07,0.14,0.06,10.19,8.67,0.04,,879.8,100.00
253490.8935,917318.7564,AQ-4X,"-2,269.5",TST-1,Isotech,74.93,2.58,1.22,0.27,0.24,0.08,0.07,0.29,0.00,0.00,9.81,10.20,,,861.1,99.69
253490.8935,917318.7564,AQ-4X,"-2,269.5",TST-1,VPI,74.60,2.78,1.35,0.28,0.25,0.08,0.07,0.22,0.09,0.02,10.14,10.12,,0.7390,877.3,100.00
253490.8935,917318.7564,AQ-4X,"-2,074.1",TST-2,SKL Lab,67.47,5.72,4.98,1.27,1.30,0.60,0.47,0.56,0.52,0.20,10.89,6.02,0.00,,1089.6,100.00
253490.8935,917318.7564,AQ-4X,"-2,074.1",TST-2,Isotech,68.33,5.37,4.53,1.02,1.02,0.37,0.26,0.40,0.00,0.00,10.93,7.48,,,1000.7,99.71
253490.8935,917318.7564,AQ-4X,"-2,074.1",TST-2,VPI,67.89,5.57,4.76,1.11,1.08,0.38,0.27,0.34,0.11,0.01,11.31,7.17,,0.8215,1025.8,100.00
253490.8935,917318.7564,AQ-4X,"-1,811.7",TST-3,SKL Lab,68.26,7.76,7.25,2.10,1.76,0.70,0.41,0.36,0.20,0.24,7.44,3.52,0.22,,1209.0,100.00
253490.8935,917318.7564,AQ-4X,"-1,811.7",TST-3,Isotech,70.68,7.39,6.34,1.63,1.40,0.54,0.32,0.38,0.00,0.00,7.44,3.87,,,1142.2,99.99
253490.8935,917318.7564,AQ-4X,"-1,811.7",TST-3,VPI,70.04,7.45,6.50,1.76,1.47,0.57,0.33,0.36,0.09,0.00,7.72,3.71,,0.8181,1169.0,100.00
253490.8935,917318.7564,AQ-4X,"-1,674.5",TST-4,SKL Lab,72.33,9.48,6.83,1.65,1.69,0.64,0.46,0.39,0.20,0.06,3.92,2.35,0.20,,1242.3,100.00
253490.8935,917318.7564,AQ-4X,"-1,674.5",TST-4,Isotech,73.42,9.45,6.60,1.43,1.50,0.51,0.35,0.41,0.00,0.00,3.85,2.47,,,1210.4,99.99
253490.8935,917318.7564,AQ-4X,"-1,674.5",TST-4,VPI,72.74,9.38,7.01,1.54,1.58,0.53,0.36,0.38,0.10,0.00,4.01,2.37,,0.7900,1241.4,100.00
255898.846,925661.1167,AQ-5X,"-1,615.7",MDT,Isotech,82.30,4.08,3.50,0.96,0.59,0.19,0.09,0.08,0.00,0.00,3.12,5.07,,,1044.0,99.98
255898.846,925661.1167,AQ-5X,"-1,685.7",MDT,Isotech,81.38,3.80,3.34,1.04,0.56,0.24,0.11,0.14,0.00,0.00,3.95,5.43,,,1033.0,99.99
255898.846,925661.1167,AQ-5X,"-1,796.2",MDT,Isotech,82.35,3.60,3.04,0.97,0.59,0.23,0.12,0.12,0.00,0.00,4.23,4.73,,,1029.6,99.98
